127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000412
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000414
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000427
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000396
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000376
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001430
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000339
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000356
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000855
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000895
127.0.0.1, 2015-05-01 22:06:35, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000333
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000379
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000383
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.002215
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/default/index, HTTP/1.1, 200, 0.025967
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000489
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000443
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000332
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000247
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.000271
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000324
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000269
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000375
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000305
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000297
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000349
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000465
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000692
127.0.0.1, 2015-05-01 22:06:36, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000394
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.026224
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000508
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000370
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000307
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000357
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000213
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000199
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002249
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000200
127.0.0.1, 2015-05-01 22:06:56, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000193
